Hospital name,Phone number,Street address,Suburb,Postcode,State,Local Hospital Network (LHN),Primary Health Network area (PHN),Website,Description,Sector,Beds,Latitude,Longitude,Hospital_ID
"Tresillian Family Care Centre, Kingswood",02 4734 2124,1b Barber Avenue,Kingswood,2747,NSW,Unknown,Nepean Blue Mountains,https://www.tresillian.org.au/,Early parenting centre,Public,<50,-33.758161,150.714392,909
Trundle Multi Purpose Health Service,02 6892 1900,44 Brookview Street,Trundle,2875,NSW,Western NSW,Western NSW,,Regional hospital with an emergency department,Public,<50,-32.921078,147.704315,910
Tullamore Multi Purpose Health Service,02 6891 3100,1 Hinkler Street,Tullamore,2874,NSW,Western NSW,Western NSW,,Regional hospital with an emergency department,Public,<50,-32.635114,147.568997,911
Tully Hospital,07 4068 4144,Bryant Street,Tully,4854,Qld,Cairns and Hinterland,Northern Queensland,www.health.qld.gov.au/services/cairns-hinterland/cairns_tully_hosp.asp,Small hospital,Public,<50,-17.927624,145.924146,912
Tumbarumba Multi Purpose Service,02 6948 9600,4 Mitchell Street,Tumbarumba,2653,NSW,Murrumbidgee,Murrumbidgee,,Regional hospital with an emergency department,Public,<50,-35.778706,148.006203,913
Tumby Bay Hospital and Health Services,08 8688 2007,8-11 Esplanade,Tumby Bay,5605,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/tumbybayhospital,Regional hospital,Public,<50,-34.372292,136.103932,914
Tumut Hospital,02 6947 0800,105 Simpson Street,Tumut,2720,NSW,Murrumbidgee,Murrumbidgee,,Small hospital with an emergency department,Public,<50,-35.307265,148.219552,915
Tweddle Child & Family Health Centre [Footscray],03 9689 1577,53 Adelaide Street,Footscray,3011,Vic,Not stated/inadequately described,North Western Melbourne,,Early parenting centre,Public,<50,-37.797407,144.887421,916
Tweed Day Surgery,07 5599 5522,38-44 Boyd Street,Tweed Heads,2485,NSW,,,www.tweeddaysurgery.com.au,,Private,<50,-28.179019,153.539989,917
Ulladulla Endoscopy and Medical Centre,02 4455 5422,111 Princes Highway,Ulladulla,2539,NSW,,,www.ulladullaendoscopy.com.au,,Private,<50,-35.358764,150.473481,918
University Hospital Geelong,03 4215 0000,Bellerine Street,Geelong,3220,Vic,Barwon Health,Western Victoria,,Major hospital with an emergency department,Public,200-500,-38.151533,144.364964,919
Upper Murray Health & Community Services [Corryong],02 6076 3200,20 Kiell Street,Corryong,3707,Vic,Upper Murray Health and Community Services (Corryong),Murray,www.corryonghealth.org.au,Regional hospital,Public,<50,-36.198711,147.902798,920
Urana Multi Purpose Service,02 6920 8106,127-129 Princess Street,Urana,2645,NSW,Murrumbidgee,Murrumbidgee,,Regional hospital with an emergency department,Public,<50,-35.325419,146.267316,921
Urbenville Multi Purpose Service,02 6634 1600,45 Beaury Street,Urbenville,2475,NSW,Northern NSW,North Coast,,Regional hospital with an emergency department,Public,<50,-28.471511,152.543029,922
Ursula Frayne Centre,03 9319 7000,35 Mavis Street,Footscray,3011,Vic,Mercy Public Hospital Inc. (Vic),North Western Melbourne,https://health-services.mercyhealth.com.au/our-locations/adult-mental-health-services-south-west-metro/ursula-frayne-centre/,Specialist psychiatric hospital,Public,<50,-37.791148,144.886747,923
Vegetable Creek Multi Purpose Service Emmaville,02 6734 7900,13-33 Glen Innes Road,Emmaville,2371,NSW,Hunter New England,Hunter New England and Central Coast,,Regional hospital with an emergency department,Public,<50,-29.450547,151.599204,924
Victoria Parade Surgery Centre,03 9650 4000,"Level 1, 100 Victoria Parade",East Melboune,3002,Vic,,,http://www.curagroup.com.au/victoria-parade-surgery-centre,,Private,<50,-37.808521,144.97476,925
Victorian Institute of Forensic Mental Health,03 8684 0000,Yarra Bend Road,Fairfield,3078,Vic,Victorian Institute of Forensic Mental Health,North Western Melbourne,,Specialist psychiatric hospital,Public,100-199,-37.78931,145.012975,926
Victorian Institute of Forensic Mental Health Prison Health Service,03 8684 0000,317 Spencer Street,Melbourne,3001,Vic,Victorian Institute of Forensic Mental Health,North Western Melbourne,,Specialist psychiatric hospital,Public,<50,-37.812763,144.950757,927
Vision Day Surgery Camberwell,03 9882 1347,27 Denmark Hill Road,Camberwell,3123,Vic,,,www.visioneyeinstitute.com.au,,Private,,-37.83252,145.0556,928
Vision Day Surgery Chatswood,02 9424 9999,"Level 3, 270 Victoria Avenue",Chatswood,2086,NSW,,,www.visioneyeinstitute.com.au,,Private,,-33.795181,151.187314,929
Vision Day Surgery Eastern,03 9880 4333,852 Whitehorse Road,Box Hill,3128,Vic,,,www.visioneyeinstitute.com.au,,Private,,-37.817591,145.119433,930
Vision Day Surgery Footscray,03 9689 9233,89 Paisley Street,Footscray,3011,Vic,,,www.visioneyeinstitute.com.au,,Private,,-37.800508,144.895155,931
Vision Day Surgery Hurstville,02 9585 2585,8-10 Woniora Road,Hurstville,2220,NSW,,,www.visioneyeinstitute.com.au,,Private,,-33.966949,151.100439,932
Vision Day Surgery Rivercity,07 3736 3000,401 Milton Road,Auchenflower,4066,Qld,,,www.visioneyeinstitute.com.au,,Private,,-27.473726,152.995579,933
Vision Eye Institute,03 9521 2175,600 St Kilda Road,Melbourne,3004,Vic,,,www.visioneyeinstitute.com.au,,Private,,-37.850605,144.980304,934
Wagga Endoscopy Centre,02 6921 2711,50 Best Street,Wagga Wagga,2650,NSW,,,http://www.curagroup.com.au/wagga-endoscopy-centre,,Private,<50,-35.115815,147.365914,935
Wagga Wagga Hospital,02 5943 1000,260-280 Edward Street,Wagga Wagga,2650,NSW,Murrumbidgee,Murrumbidgee,,Large regional hospital with an emergency department,Public,200-500,-35.118083,147.356915,936
Wagin Hospital,08 9861 3444,Warwick Street,Wagin,6315,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=179,Regional hospital,Public,<50,-33.304662,117.347319,937
Waikerie Health Service,08 8541 0555,1 Lawrie Terrace,Waikerie,5330,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/waikeriehealthservice,Small hospital,Public,<50,-34.182447,139.984917,938
Waikiki Private Hospital,08 9550 0222,221 Willmott Drive,Waikiki,6169,WA,,,www.waikikiprivatehospital.com,,Private,<50,-32.310552,115.763147,939
Walcha Multi Purpose Service,02 6774 2366,Middle Street,Walcha,2354,NSW,Hunter New England,Hunter New England and Central Coast,,Regional hospital with an emergency department,Public,<50,-30.987818,151.591415,940
Walcott Street Surgical Centre,08 9227 9004,41 Walcott Street,Mount Lawley,6050,WA,,,,,Private,,-31.936554,115.874141,941
Walgett Multipurpose Service,02 6828 6000,141 Fox Street,Walgett,2832,NSW,Western NSW,Western NSW,,Regional hospital with an emergency department,Public,<50,-30.030646,148.115959,942
Wangaratta Private Hospital,03 5722 2678,134-150 Templeton Street,Wangaratta,3677,Vic,,,www.wangarattaprivate.com.au,,Private,<50,-36.349299,146.312423,943
Wantirna Health,03 9955 1200,251 Mountain Highway,Wantirna,3152,Vic,Eastern Health (Vic),Eastern Melbourne,https://www.easternhealth.org.au/locations/wantirna-health,Metropolitan hospital,Public,50-99,-37.848525,145.225902,944
War Memorial Hospital,02 9369 0100,125 Birrell Street,Waverley,2024,NSW,South Eastern Sydney,Central and Eastern Sydney,www.wmhw.org.au/,Specialist rehabilitation hospital,Public,<50,-33.897496,151.253816,945
Waratah Private Hospital,02 9598 0000,31 Dora Street,Hurstville,2220,NSW,,,www.surgeryaustralia.com.au,,Private,50-99,-33.963651,151.100464,946
Warialda Multi Purpose Service,02 6728 9000,Long Street,Warialda,2402,NSW,Hunter New England,Hunter New England and Central Coast,,Regional hospital with an emergency department,Public,<50,-29.538835,150.579567,947
Warners Bay Private Hospital,02 4958 4288,Fairfax Road,Warners bay,2282,NSW,,,,,Private,50-99,-32.965262,151.641204,948
Warren Hospital,08 9772 5100,16 Hospital Avenue,Manjimup,6258,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=184,Small hospital,Public,<50,-34.240969,116.154112,949
Warren Multi Purpose Service,02 6847 7200,Lot 176 Dr Kater Drive,Warren,2824,NSW,Western NSW,Western NSW,,Regional hospital with an emergency department,Public,<50,-31.693958,147.835679,950
Warringal Private Hospital,03 9274 1300,216 Burgundy Street,Heidelberg,3084,Vic,,,www.warringalprivate.com.au/,,Private,100-199,-37.754419,145.060728,951
Warwick Hospital,07 4660 3900,56 Locke Street,Warwick,4370,Qld,Darling Downs,Darling Downs and West Moreton,www.health.qld.gov.au/services/darlingdowns/ddowns-warwick-hs.asp,Small hospital,Public,50-99,-28.224275,152.017983,952
Wauchope Hospital,02 6580 8000,69 High Street,Wauchope,2446,NSW,Mid North Coast,North Coast,,Small hospital,Public,<50,-31.457239,152.728131,953
Waverley Private Hospital,03 9881 7700,343-357 Blackburn Road,Mount Waverley,3149,Vic,,,www.waverleyprivate.com.au/,,Private,100-199,-37.884632,145.145798,954
Wee Waa Hospital,02 6795 0400,60 Alma Street,Wee Waa,2388,NSW,Hunter New England,Hunter New England and Central Coast,,Regional hospital with an emergency department,Public,<50,-30.225439,149.448287,955
Weipa Hospital,07 4082 3900,Lot 407 John Evans Drive,Weipa,4874,Qld,Torres and Cape,Northern Queensland,https://www.health.qld.gov.au/services/torres-cape/capeyork_weipa_hosp,Small hospital,Public,<50,-12.623419,141.881179,956
Wellington Health Service,02 6840 8200,30 Thornton Street,Wellington,2820,NSW,Western NSW,Western NSW,,Regional hospital with an emergency department,Public,<50,-32.549741,148.951977,957
Wentworth Hospital,03 5027 7111,Silver City Highway,Wentworth,2648,NSW,Far West,Western NSW,www.wentworth.nsw.gov.au/services/healthdir.php,Regional hospital,Public,<50,-34.109983,141.922481,958
Wentworth Psychiatric Services,02 4734 2000,Derby Street,Penrith,2750,NSW,Nepean Blue Mountains,Nepean Blue Mountains,,Metropolitan hospital,Public,<50,-33.760249,150.712613,959
Werribee Mercy Hospital,03 8754 3000,300 Princes Highway,Werribee,3030,Vic,Mercy Public Hospital Inc. (Vic),North Western Melbourne,http://www.mercyhealth.com.au/meps/wmh/Pages/Welcome.aspx,Medium metropolitan hospital with an emergency department,Public,200-500,-37.886587,144.698621,960
Werris Creek Hospital,02 6768 6600,22-34 North Street,Werris Creek,2341,NSW,Hunter New England,Hunter New England and Central Coast,,Regional hospital with an emergency department,Public,<50,-31.346691,150.652513,961
Wesley Hospital Ashfield,1300 924 522,91 Milton Street,Ashfield,2131,NSW,,,https://www.wesleymission.org.au/find-a-service/mental-health-and-hospitals/wesley-hospitals/wesley-hospital-ashfield,,Private,<50,-33.8925,151.116666,962
Wesley Hospital Kogarah,1300 924 522,7 Blake Street,Kogarah,2217,NSW,,,https://www.wesleymission.org.au/find-a-service/mental-health-and-hospitals/wesley-hospitals/wesley-hospital-kogarah,,Private,<50,-33.968262,151.12896,963
West Gippsland Healthcare Group [Warragul],03 5623 0611,41 Landsborough Street,Warragul,3820,Vic,West Gippsland Healthcare Group,Gippsland,www.wghg.com.au,Medium regional hospital with an emergency department,Public,50-99,-38.173009,145.926804,964
West Wimmera Health Service [Jeparit],03 5391 4222,2 Charles Street,Jeparit,3423,Vic,West Wimmera Health Service,Western Victoria,www.wwhs.net.au/,Regional hospital,Public,<50,-36.141132,141.984686,965
West Wimmera Health Service [Kaniva],03 5391 4222,9 Farmers Street,Kaniva,3419,Vic,West Wimmera Health Service,Western Victoria,www.wwhs.net.au/,Regional hospital,Public,<50,-36.381386,141.246006,966
West Wimmera Health Service [Nhill],03 5391 4222,45 Nelson Street,Nhill,3418,Vic,West Wimmera Health Service,Western Victoria,www.wwhs.net.au/,Small hospital,Public,<50,-36.334003,141.655579,967
West Wimmera Health Service [Rainbow],03 5391 4222,2 Swinbourne Avenue,Rainbow,3424,Vic,West Wimmera Health Service,Western Victoria,www.wwhs.net.au/,Regional hospital,Public,<50,-35.903874,141.995112,968
West Wimmera Health Service [Rupanyup],03 5363 1200,89 Cromie Street,Rupanyup,3388,Vic,West Wimmera Health Service,Western Victoria,http://www.wwhs.net.au/about_us,Regional hospital,Public,<50,-36.636571,142.631849,969
Western District Health Service [Coleraine District Health Service],03 5553 2000,71 McLeod Street,Coleraine,3315,Vic,Western District Health Service (Vic),Western Victoria,www.wdhs.net/coleraine/getting-here,Regional hospital,Public,<50,-37.599913,141.692018,970
Western District Health Service [Hamilton],03 5551 8222,20 Foster Street,Hamilton,3300,Vic,Western District Health Service (Vic),Western Victoria,http://www.wdhs.net/,Small hospital with an emergency department,Public,50-99,-37.736495,142.030606,971
Western District Health Service [Penshurst],03 5552 3000,146 Cobb Street,Penshurst,3289,Vic,Western District Health Service (Vic),Western Victoria,www.wdhs.net/penshurst/getting-here,Regional hospital,Public,<50,-37.877275,142.282487,972
Western Gastroenterology Services,03 9318 3399,1/30 Eleanor Street,Footscray,3011,Vic,,,,,Private,<50,-37.792005,144.885343,973
Western Hospital,08 8356 1222,168 Cudmore Terrace,Henley Beach,5022,SA,,,www.westernhospital.com.au,,Private,50-99,-34.909971,138.49966,974
Western Hospital [Footscray],03 8345 6666,160 Gordon Street,Footscray,3011,Vic,Western Health (Vic),North Western Melbourne,www.wh.org.au,Large metropolitan hospital with an emergency department,Public,200-500,-37.792298,144.887191,975
Western Private Hospital,03 9318 3177,1-9 Marion Sreet,Footscray,3011,Vic,,,www.westernprivatehospital.com.au,,Private,<50,-37.793045,144.885932,976
Western Sydney Oncology & Infusion Centre,02 8837 9800,"Westmead Specialist Centre Level 2, 16-18 Mons Road",Westmead,2145,NSW,,,www.westernsydneyoncology.com.au,,Private,,-33.802024,150.982879,977
Westmead Hospital,02 8890 5555,166-174 Darcy Road,Westmead,2145,NSW,Western Sydney,Western Sydney,www.wslhd.health.nsw.gov.au/Westmead-Hospital,Major hospital with an emergency department,Public,>500,-33.804362,150.987811,978
Westmead Private Hospital,02 8837 9000,Corner of Mons and Darcy Roads,Westmead,2145,NSW,,,www.westmeadprivate.com.au/,,Private,100-199,-33.802865,150.982382,979
Westmead Rehabilitation Hospital,02 8833 3555,7 Coleman Street,Merrylands,2160,NSW,,,www.pulsehealth.net.au,,Private,50-99,-33.819288,150.981059,980
Westminster Day Surgery,08 9349 5555,476 Wanneroo Road,Westminster,6061,WA,,,www.westminsterdaysurgery.com,,Private,<50,-31.862769,115.829163,981
Whyalla Hospital and Health Services,08 8648 8300,20 Wood Terrace,Whyalla,5600,SA,Country Health SA,Country SA,www.sahealth.sa.gov.au/whyallahospital,Medium regional hospital with an emergency department,Public,100-199,-33.033977,137.577559,982
Wilcannia Multi Purpose Service,08 8083 8777,14 Ross Street,Wilcannia,2836,NSW,Far West,Western NSW,,Regional hospital with an emergency department,Public,<50,-31.557638,143.385336,983
Williamstown Hospital,03 9393 0100,77B Railway Crescent,Williamstown,3016,Vic,Western Health (Vic),North Western Melbourne,http://www.westernhealth.org.au/OurSites/WilliamstownHospital/Pages/default.aspx,Medium metropolitan hospital with an emergency department,Public,100-199,-37.863576,144.892339,984
"Wilson Memorial Community Hospital, Murrurundi",02 6546 9000,59 O'Connell Street,Murrurundi,2338,NSW,Hunter New England,Hunter New England and Central Coast,,Regional hospital with an emergency department,Public,<50,-31.770408,150.834764,985
Wimmera Base Hospital [Horsham],03 5381 9111,83 Baillie Street,Horsham,3400,Vic,Wimmera Health Care Group,Western Victoria,www.whcg.org.au,Small hospital with an emergency department,Public,50-99,-36.712441,142.208522,986
Windsor Private Hospital,03 9520 9520,20 The Avenue,Windsor,3181,Vic,,,http://www.windsorprivate.com.au,,Private,<50,-37.856118,144.998213,987
Wingham Hospital,02 6557 3400,32 Bungay Road,Wingham,2429,NSW,Hunter New England,Hunter New England and Central Coast,,Specialist rehabilitation hospital,Public,<50,-31.878104,152.365179,988
Winton Hospital,07 4657 2700,Bloomfield Street,Winton,4735,Qld,Central West (Qld),Western Queensland,www.health.qld.gov.au/services/centralwest/cwest_winton_hosp.asp,Regional hospital,Public,<50,-22.381189,143.040672,989
Wollongong Day Surgery,02 4226 6955,354-358 Crown Street,Wollongong,2500,NSW,,,www.wollongongdaysurgery.com.au,,Private,,-34.42583,150.881346,990
Wollongong Hospital,02 4222 5000,348 Crown Street,Wollongong,2500,NSW,Illawarra Shoalhaven,South Eastern NSW,www.islhd.health.nsw.gov.au/Wollongong_Hospital/default.asp,Major hospital with an emergency department,Public,200-500,-34.424938,150.883451,991
Wollongong Private Hospital,02 4286 1000,360-364 Crown Street,Wollongong,2500,NSW,,,http://www.wollongongprivate.com.au,,Private,100-199,-34.425814,150.880729,992
Wolper Jewish Hospital,02 9328 6077,8 Trelawney Street,Woollahra,2025,NSW,,,www.wolper.com.au,,Private,50-99,-33.884118,151.240739,993
Women's and Children's Hospital,08 8161 7000,72 King William Road,North Adelaide,5006,SA,Women's and Children's Health Network (SA),Adelaide,www.wch.sa.gov.au,Specialist women's and children's hospital with an emergency department,Public,200-500,-34.911444,138.599631,994
Women's at Sandringham,03 9076 1000,193 Bluff Road,Sandringham,3191,Vic,Royal Women's Hospital (Melbourne),South Eastern Melbourne,www.thewomens.org.au/health-professionals/maternity/maternity-overview/,Specialist women's hospital,Public,<50,-37.961049,145.018157,995
Wondai Hospital,07 4169 2600,Bramston Street,Wondai,4606,Qld,Darling Downs,Darling Downs and West Moreton,www.health.qld.gov.au/services/darlingdowns/ddowns-wondai-hs.asp,Regional hospital,Public,<50,-26.323335,151.878658,996
Wongan Hills Hospital,08 9691 1222,Ackland Street,Wongan Hills,6603,WA,WA Country Health Service,Country WA,www.health.wa.gov.au/services/detail.cfm?Unit_ID=193,Regional hospital,Public,<50,-30.894159,116.724843,997
